,UniProt ID,Gene Name ,Confidence ,Expected Sensitivity,Expected Specificity,Confidence
0,P22897,MRC1,0.765516788,0.391383815,0.068506686,0.236842105263
1,P08631,HCK,0.795199901,0.733979099,0.205237662,0.236842105263
2,Q00403,GTF2B,0.186872605,0.290660035,0.723618278,0.236842105263
3,P20226,TBP,0.489764396,0.292136644,0.575147613,0.236842105263
4,P16070,CD44,0.445586201,0.296796277,0.200232504,0.236842105263
5,P67870,CSNK2B,0.64631301,0.024842422,0.843480345,0.236842105263
6,P21675,TAF1,0.709364831,0.917841813,0.423730001,0.236842105263
7,P25490,YY1,0.754686682,0.686030123,0.544750963,0.236842105263
8,P24941,CDK2,0.276025077,0.234277855,0.527967384,0.236842105263
9,P62877,RBX1,0.679702677,0.49735264,0.185107821,0.236842105263
10,P14859,POU2F1,0.655098004,0.790581551,0.081689714,0.236842105263
11,Q07812,BAX,0.162611735,0.380232618,0.464093623,0.236842105263
12,Q01094,E2F1,0.118997682,0.218583413,0.030554776,0.236842105263
13,P19525,EIF2AK2,0.498364052,0.722665277,0.434984158,0.236842105263
14,P53618,COPB1,0.959743959,0.772832557,0.557864961,0.236842105263
15,P42574,CASP3,0.340385727,0.693282655,0.638782129,0.236842105263
16,Q13077,TRAF1,0.585267751,0.619674795,0.034217413,0.236842105263
17,O00571,DDX3X,0.223811939,0.762303041,0.709900447,0.236842105263
18,P01375,TNF,0.751267059,0.511480296,0.169323948,0.236842105263
19,Q93009,USP7,0.255095115,0.329405467,0.593382473,0.236842105263
20,P63279,UBE2I,0.505957052,0.001344062,0.608064919,0.236842105263
21,P01857,IGHG1,0.699076723,0.58064405,0.772359587,0.236842105263
22,P63000,RAC1,0.890903253,0.171838069,0.056273616,0.236842105263
23,P52294,KPNA1,0.959291425,0.194907221,0.854725147,0.236842105263
24,Q8WUM4,PDCD6IP,0.54721553,0.150321508,0.384284326,0.236842105263
25,Q92973,TNPO1,0.138624443,0.505419725,0.399618961,0.236842105263
26,P30153,PPP2R1A,0.149294006,0.017386925,0.325417485,0.236842105263
27,Q13362,PPP2R5C,0.257508254,0.471207953,0.55539011,0.236842105263
28,P02751,FN1,0.840717256,0.046077494,0.295420103,0.236842105263
29,P61586,RHOA,0.254282179,0.442265249,0.366120002,0.236842105263
30,Q15633,TARBP2,0.814284826,0.163559194,0.349048329,0.236842105263
31,P60709,ACTB,0.243524969,0.572099955,0.630224056,0.236842105263
32,P60953,CDC42,0.929263623,0.818320323,0.664442081,0.236842105263
33,O95793,STAU1,0.349983766,0.085341981,0.992096337,0.236842105263
34,P06756,ITGAV,0.19659525,0.232836093,0.944361262,0.236842105263
35,P61978,HNRNPK,0.251083858,0.246046032,0.350347862,0.236842105263
36,P68400,CSNK2A1,0.616044676,0.351934213,0.192997945,0.236842105263
37,P62807,HIST1H2BC,0.473288849,0.409084091,0.919576138,0.236842105263
38,P62807,HIST1H2BE,0.351659507,0.114243115,0.28869205,0.236842105263
39,P62807,HIST1H2BF,0.830828628,0.407214771,0.550859428,0.236842105263
40,P62807,HIST1H2BG,0.585264091,0.675930708,0.919324154,0.236842105263
41,P62807,HIST1H2BI,0.549723608,0.543023941,0.090048522,0.236842105263
42,Q06330,RBPJ,0.917193664,0.357129616,0.257696302,0.236842105263
43,O14980,XPO1,0.285839019,0.661592731,0.427047958,0.236842105263
44,Q92985,IRF7,0.757200229,0.67870279,0.57772329,0.236842105263
45,Q13651,IL10RA,0.753729094,0.131560183,0.899521395,0.236842105263
46,P04637,TP53,0.380445847,0.439619612,0.218225617,0.236842105263
47,P08047,SP1,0.567821641,0.937195576,0.967031884,0.236842105263
48,Q9HC16,APOBEC3G,0.07585429,0.570223861,0.433981378,0.236842105263
49,P0C0S8,HIST1H2AG,0.053950119,0.577639291,0.784822423,0.236842105263
50,P0C0S8,HIST1H2AI,0.530797553,0.76460237,0.525233845,0.236842105263
51,P0C0S8,HIST1H2AK,0.77916723,0.246951668,0.331276853,0.236842105263
52,P0C0S8,HIST1H2AL,0.934010684,0.693855426,0.431593647,0.236842105263
53,P0C0S8,HIST1H2AM,0.129906208,0.294862912,0.717901601,0.236842105263
54,O43719,HTATSF1,0.568823661,0.570700531,0.916212078,0.236842105263
55,Q16594,TAF9,0.469390641,0.634804166,0.890027987,0.236842105263
56,Q9BYF1,ACE2,0.01190207,0.398891197,0.134706058,0.236842105263
57,Q15172,PPP2R5A,0.337122644,0.24888369,0.119912755,0.236842105263
58,P06396,GSN,0.162182308,0.935332381,0.893452421,0.236842105263
59,P52799,EFNB2,0.794284541,0.448901901,0.653085542,0.236842105263
60,P12830,CDH1,0.311215042,0.531784017,0.040278077,0.236842105263
61,P01579,IFNG,0.528533136,0.63483855,0.504715964,0.236842105263
62,Q12800,TFCP2,0.165648729,0.668120361,0.894453465,0.236842105263
63,P28482,MAPK1,0.601981941,0.439013189,0.385728464,0.236842105263
64,P19388,POLR2E,0.262971285,0.172989365,0.292051878,0.236842105263
65,P06400,RB1,0.654079098,0.694384241,0.23403657,0.236842105263
66,P62937,PPIA,0.689214503,0.92492621,0.200948357,0.236842105263
67,P01730,CD4,0.748151593,0.370605945,0.380306063,0.236842105263
68,P09661,SNRPA1,0.450541599,0.638787885,0.594790142,0.236842105263
69,P18846,ATF1,0.083821378,0.889679087,0.268385975,0.236842105263
70,P29084,GTF2E2,0.228976969,0.482942334,0.622442642,0.236842105263
71,P29083,GTF2E1,0.913337362,0.629817868,0.80456731,0.236842105263
72,O43521,BCL2L11,0.152378019,0.465017494,0.103971259,0.236842105263
73,P11802,CDK4,0.825816977,0.109172861,0.729240307,0.236842105263
74,P61289,PSME3,0.538342435,0.113116378,0.648590264,0.236842105263
75,P50613,CDK7,0.996134717,0.107892309,0.474654623,0.236842105263
76,P49336,CDK8,0.078175529,0.445730958,0.93291211,0.236842105263
77,P50750,CDK9,0.44267827,0.938845037,0.096443679,0.236842105263
78,P22674,CCNO,0.10665277,0.633813978,0.599106918,0.236842105263
79,P68363,TUBA1B,0.961898081,0.929669348,0.233564709,0.236842105263
80,Q13509,TUBB3,0.004634224,0.062876256,0.032328338,0.236842105263
81,P04350,TUBB4A,0.774910465,0.306938912,0.579859264,0.236842105263
82,P68371,TUBB4B,0.817303221,0.949764495,0.842198152,0.236842105263
83,P63244,RACK1,0.868694705,0.010364379,0.556896988,0.236842105263
84,Q15596,NCOA2,0.084435846,0.167827708,0.83988299,0.236842105263
85,Q92993,KAT5,0.399782649,0.755272448,0.204952274,0.236842105263
86,O15205,UBD,0.259870403,0.833821732,0.621254887,0.236842105263
87,P50991,CCT4,0.80006848,0.605860436,0.174020887,0.236842105263
88,Q07666,KHDRBS1,0.431413827,0.517917168,0.289539819,0.236842105263
89,Q15185,PTGES3,0.910647594,0.942857603,0.018502935,0.236842105263
90,P53999,SUB1,0.181847028,0.741206396,0.70149639,0.236842105263
91,Q7L5N1,COPS6,0.263802917,0.701078867,0.952091372,0.236842105263
92,O15504,NUPL2,0.14553898,0.744718149,0.749009335,0.236842105263
93,Q9BUJ2,HNRNPUL1,0.136068559,0.873825774,0.756727389,0.236842105263
94,O14757,CHEK1,0.869292208,0.964120596,0.542089075,0.236842105263
95,Q16543,CDC37,0.579704587,0.981916907,0.282062873,0.236842105263
96,P62805,HIST1H4A,0.549860202,0.918632828,0.244874847,0.236842105263
97,P62805,HIST1H4B,0.144954798,0.283480366,0.286318218,0.236842105263
98,P62805,HIST1H4C,0.853031118,0.058625575,0.96313441,0.236842105263
99,P62805,HIST1H4D,0.622055131,0.820994547,0.230695346,0.236842105263
100,P62805,HIST1H4E,0.350952381,0.179522235,0.537321413,0.236842105263
101,P62805,HIST1H4F,0.51324954,0.034931272,0.205008252,0.236842105263
102,P62805,HIST1H4H,0.401808034,0.771326714,0.434041295,0.236842105263
103,P62805,HIST1H4I,0.075966692,0.540526119,0.142211972,0.236842105263
104,P62805,HIST1H4J,0.239916154,0.331539956,0.375583775,0.236842105263
105,P62805,HIST1H4K,0.123318935,0.578216606,0.793560627,0.236842105263
106,P62805,HIST1H4L,0.183907788,0.854507422,0.812815651,0.236842105263
107,P62805,HIST2H4A,0.239952526,0.642375084,0.903790906,0.236842105263
108,P62805,HIST2H4B,0.417267069,0.420103532,0.540375734,0.236842105263
109,P62805,HIST4H4,0.04965443,0.545912886,0.817863312,0.236842105263
110,Q71DI3,HIST2H3A,0.90271611,0.182297728,0.708416645,0.236842105263
111,Q71DI3,HIST2H3C,0.94478719,0.236274227,0.043208852,0.236842105263
112,Q71DI3,HIST2H3D,0.490864092,0.205413667,0.14594598,0.236842105263
113,Q8N257,HIST3H2BB,0.489252638,0.259686313,0.233335663,0.236842105263
114,Q92793,CREBBP,0.33771941,0.942632406,0.246701081,0.236842105263
115,Q03060,CREM,0.900053846,0.641570358,0.170282743,0.236842105263
116,P09874,PARP1,0.369246781,0.829063367,0.235056835,0.236842105263
117,P19784,CSNK2A2,0.111202755,0.388762194,0.275461076,0.236842105263
118,Q9UER7,DAXX,0.780252068,0.168412218,0.951606626,0.236842105263
119,P17844,DDX5,0.389738837,0.74011774,0.346670983,0.236842105263
120,Q08211,DHX9,0.241691286,0.87279585,0.297321938,0.236842105263
121,P68104,EEF1A1,0.403912146,0.355524976,0.404426208,0.236842105263
122,Q05639,EEF1A2,0.096454525,0.178828671,0.302237426,0.236842105263
123,P29692,EEF1D,0.131973293,0.996423608,0.757311084,0.236842105263
124,P05198,EIF2S1,0.942050591,0.959127559,0.359743894,0.236842105263
125,P41091,EIF2S3,0.95613454,0.155996237,0.124899572,0.236842105263
126,P06733,ENO1,0.575208595,0.928935665,0.617182559,0.236842105263
127,Q09472,EP300,0.059779543,0.424574187,0.355519454,0.236842105263
128,P18074,ERCC2,0.234779913,0.223083945,0.362938187,0.236842105263
129,P19447,ERCC3,0.353158571,0.136395093,0.068488286,0.236842105263
130,Q14289,PTK2B,0.82119404,0.260175654,0.867161872,0.236842105263
131,Q96QV6,HIST1H2AA,0.015403438,0.544465383,0.457896198,0.236842105263
132,P09038,FGF2,0.043023802,0.082208392,0.077615385,0.236842105263
133,Q13049,TRIM32,0.168990029,0.598127313,0.904921196,0.236842105263
134,Q9UPY3,DICER1,0.649115475,0.029186178,0.281695881,0.236842105263
135,Q13148,TARDBP,0.731722386,0.454908898,0.613877843,0.236842105263
136,O60885,BRD4,0.647745963,0.332498684,0.661857942,0.236842105263
137,P02794,FTH1,0.450923706,0.943672832,0.200024596,0.236842105263
138,P06241,FYN,0.547008892,0.30310182,0.959986228,0.236842105263
139,P12956,XRCC6,0.296320806,0.428224336,0.665105984,0.236842105263
140,Q96A08,HIST1H2BA,0.744692807,0.66103376,0.541299839,0.236842105263
141,Q9UKC9,FBXL2,0.188955015,0.381088012,0.868968872,0.236842105263
142,Q96ST3,SIN3A,0.686775433,0.136170612,0.557047467,0.236842105263
143,Q92830,KAT2A,0.183511156,0.096626623,0.021398117,0.236842105263
144,P11940,PABPC1,0.368484596,0.305161642,0.482680552,0.236842105263
145,O00499,BIN1,0.625618561,0.82388365,0.807985579,0.236842105263
146,P62879,GNB2,0.780227435,0.627252866,0.736009366,0.236842105263
147,P62993,GRB2,0.081125769,0.205932764,0.572304395,0.236842105263
148,P04150,NR3C1,0.929385971,0.980185458,0.008984853,0.236842105263
149,Q9BY43,CHMP4A,0.775712679,0.43777428,0.718280464,0.236842105263
150,P35269,GTF2F1,0.486791632,0.835195774,0.449426592,0.236842105263
151,P13984,GTF2F2,0.435858589,0.539180448,0.659616769,0.236842105263
152,P32780,GTF2H1,0.446783749,0.025126933,0.753208346,0.236842105263
153,Q8WUA4,GTF3C2,0.306349472,0.006824279,0.804739014,0.236842105263
154,P20671,HIST1H2AD,0.508508655,0.786086239,0.029155582,0.236842105263
155,P16104,H2AFX,0.510771564,0.447392856,0.779817267,0.236842105263
156,P0C0S5,H2AFZ,0.817627708,0.288737449,0.567350499,0.236842105263
157,P58876,HIST1H2BD,0.794831417,0.863180265,0.076116627,0.236842105263
158,P33778,HIST1H2BB,0.64431813,0.656228495,0.251621824,0.236842105263
159,P84243,H3F3A,0.378609383,0.284693633,0.133454529,0.236842105263
