UniProt,Gene Name,Confidence,Expected Sensitivity,Expected Specificity
P22897,MRC1,0.510657444,0.451885487,0.266655497
P08631,HCK,0.260157477,0.339515747,0.781825858
Q00403,GTF2B,0.76898814,0.759962102,0.878958942
P20226,TBP,0.253111313,0.129624769,0.166409476
P16070,CD44,0.57119263,0.036318346,0.443930683
P67870,CSNK2B,0.421647726,0.95840649,0.072531219
P21675,TAF1,0.133884689,0.517014573,0.392338192
P25490,YY1,0.433797059,0.808770912,0.555131369
P24941,CDK2,0.245734424,0.56952137,0.771482705
P62877,RBX1,0.485804355,0.218428875,0.419795467
P14859,POU2F1,0.4846465,0.776626537,0.909022912
Q07812,BAX,0.545165836,0.952633095,0.788458629
Q01094,E2F1,0.594801111,0.942233248,0.602291681
P19525,EIF2AK2,0.186052647,0.486889722,0.059896957
P53618,COPB1,0.163527728,0.209008945,0.365709201
P42574,CASP3,0.099822172,0.553720396,0.04325919
Q13077,TRAF1,0.051005525,0.581635735,0.537957166
O00571,DDX3X,0.470010992,0.308653131,0.074339005
P01375,TNF,0.390566604,0.526928044,0.474911382
Q93009,USP7,0.658241082,0.544522399,0.382432513
P63279,UBE2I,0.696732299,0.195068892,0.320521041
P01857,IGHG1,0.015130583,0.088742058,0.625726303
P63000,RAC1,0.021272564,0.138577176,0.572078939
P52294,KPNA1,0.606330048,0.757049863,0.482648601
Q8WUM4,PDCD6IP,0.501410667,0.892992118,0.417690825
Q92973,TNPO1,0.716423822,0.224609444,0.29083932
P30153,PPP2R1A,0.564915708,0.98133323,0.509673247
Q13362,PPP2R5C,0.946936918,0.443278071,0.487061348
P02751,FN1,0.802697728,0.059024194,0.489047812
P61586,RHOA,0.338003782,0.918600612,0.391612913
Q15633,TARBP2,0.710179821,0.574674724,0.102542746
P60709,ACTB,0.017292809,0.465905367,0.139022375
P60953,CDC42,0.646018694,0.216646099,0.636200569
O95793,STAU1,0.359219917,0.538457736,0.43075326
P06756,ITGAV,0.990280134,0.641922758,0.443418962
P62158,CALM1,0.209589947,0.252944,0.017732691
P61978,HNRNPK,0.358421371,0.586106342,0.10193373
P68400,CSNK2A1,0.445903093,0.780612022,0.458401468
P62807,HIST1H2BC,0.674445523,0.843595794,0.722085759
Q06330,RBPJ,0.991323924,0.542711827,0.969737029
O14980,XPO1,0.795897678,0.079870338,0.357108209
Q92985,IRF7,0.400262392,0.922116601,0.744299118
Q13651,IL10RA,0.790709348,0.013337698,0.211299499
P04637,TP53,0.786970701,0.949498975,0.886690758
P08047,SP1,0.059291376,0.064824464,0.066609731
Q9HC16,APOBEC3G,0.568173487,0.625458546,0.009623567
P0C0S8,HIST1H2AG,0.928362689,0.713756704,0.085209396
O43719,HTATSF1,0.033960829,0.948237698,0.99510163
